node_id,lat,lon
305,38.8901715,-77.0770356
306,38.8901521,-77.0770649
307,38.8901416,-77.0770809
308,38.8901302,-77.0770973
309,38.8901215,-77.077109
310,38.8901124,-77.0771206
311,38.890105,-77.0771296
312,38.8900973,-77.0771386
313,38.8900841,-77.0771535
314,38.8900774,-77.077161
315,38.8900704,-77.0771685
316,38.8900564,-77.0771828
317,38.8900397,-77.0771997
318,38.8900172,-77.0772215
319,38.8899967,-77.0772408
320,38.8899736,-77.0772609
321,38.889949,-77.0772815
322,38.8899218,-77.077303
323,38.88987,-77.0773435
324,38.8898178,-77.0773851
325,38.8897137,-77.0774701
326,38.8896991,-77.0774821
327,38.8896811,-77.0774977
328,38.8896502,-77.0775253
329,38.889592,-77.07758
330,38.8895659,-77.0776027
331,38.8895165,-77.0776506
332,38.8860988,-77.0753334
333,38.8861562,-77.0753974
334,38.8861768,-77.0754
335,38.8866845,-77.0754629
336,38.8867246,-77.0754856
337,38.8867511,-77.0755196
338,38.8867599,-77.0755762
339,38.8867404,-77.0758961
340,38.8867367,-77.0759578
341,38.8963524,-77.0729376
342,38.8963826,-77.0730099
343,38.8964031,-77.0730677
344,38.8964159,-77.0731242
345,38.8964275,-77.0731888
346,38.8964349,-77.0732629
347,38.8964364,-77.0733435
348,38.900039,-77.0756646
349,38.9000352,-77.0759359
350,38.9000237,-77.0762082
351,38.9000242,-77.0763269
352,38.9000438,-77.0765099
353,38.9000599,-77.0766348
354,38.9000671,-77.0767633
355,38.900051,-77.0769902
356,38.9000229,-77.0772236
357,38.8999917,-77.0774372
358,38.8999675,-77.0776031
359,38.8999419,-77.0777949
360,38.899935,-77.0779894
361,38.8999468,-77.0782542
362,38.8999493,-77.0783098
363,38.8999677,-77.0786025
364,38.8999694,-77.0786373
365,38.8999961,-77.0794401
366,38.900007,-77.0796994
367,38.8930398,-77.0736652
368,38.8930327,-77.0736733
369,38.8930274,-77.0736796
370,38.8930218,-77.0736872
371,38.893016,-77.0736958
372,38.8930103,-77.0737046
373,38.8930049,-77.0737138
374,38.8929987,-77.0737256
375,38.8929933,-77.0737362
376,38.892983,-77.073759
377,38.8929791,-77.073769
378,38.892976,-77.0737792
379,38.8929735,-77.0737886
380,38.8929717,-77.0737981
381,38.8929701,-77.073808
382,38.8929686,-77.0738206
383,38.8929614,-77.0738916
384,38.892877,-77.0749839
385,38.8928727,-77.075126
386,38.8928532,-77.0753801
387,38.8928468,-77.0754944
388,38.8928406,-77.0755862
389,38.8928362,-77.0756392
390,38.8927963,-77.0763025
391,38.8927915,-77.0763813
392,38.8927894,-77.076413
393,38.8989867,-77.0707354
394,38.8989934,-77.0709054
395,38.8990195,-77.0713704
396,38.885689,-77.0808001
397,38.8858134,-77.0808026
398,38.8861172,-77.0807221
399,38.8861995,-77.0806692
400,38.886273,-77.0805962
401,38.8867082,-77.0798609
402,38.8867642,-77.0797286
403,38.886767,-77.0796658
404,38.8867523,-77.0796104
405,38.8941145,-77.0683783
406,38.8941401,-77.0684014
407,38.8941656,-77.0684258
408,38.8941969,-77.0684576
409,38.8942209,-77.0684827
410,38.8942979,-77.0685648
411,38.8943412,-77.0686204
412,38.8997336,-77.0772012
413,38.8997396,-77.0771148
414,38.8997402,-77.0771029
415,38.8997442,-77.0769859
416,38.8997399,-77.076828
417,38.8997226,-77.0762246
418,38.8999456,-77.0762108
419,38.8999568,-77.0762104
420,38.8924933,-77.0714369
421,38.8925872,-77.0714406
422,38.892672,-77.0714412
423,38.8927636,-77.0714413
424,38.8928405,-77.0714304
425,38.8929189,-77.0714149
426,38.892991,-77.0713977
427,38.8880536,-77.0755712
428,38.8881113,-77.0755505
429,38.8881672,-77.0755309
430,38.8883145,-77.0754695
431,38.888393,-77.0754341
432,38.8884487,-77.0754068
433,38.8884889,-77.0753877
434,38.8885062,-77.0753773
435,38.8885253,-77.0753647
436,38.8885467,-77.075348
437,38.888567,-77.0753289
438,38.8886173,-77.0752737
439,38.8888836,-77.0749925
440,38.8889695,-77.0749139
441,38.8890367,-77.0748539
442,38.889084,-77.0748142
443,38.8891233,-77.0747815
444,38.8891463,-77.0747627
445,38.8891683,-77.0747476
446,38.8891994,-77.0747297
447,38.889232,-77.0747122
448,38.8892603,-77.0747004
449,38.8892934,-77.0746877
450,38.889314,-77.074681
451,38.889477,-77.0746364
452,38.8895835,-77.0746056
453,38.8897736,-77.0745505
454,38.8899127,-77.0745243
455,38.8899484,-77.0745217
456,38.8899896,-77.0745239
457,38.8900342,-77.0745303
458,38.890073,-77.0745385
459,38.890127,-77.0745575
460,38.8901709,-77.0745766
461,38.8902086,-77.0745926
462,38.8904955,-77.074751
463,38.8908383,-77.0749215
464,38.8909332,-77.0749717
465,38.8909524,-77.0749835
466,38.8923428,-77.0715713
467,38.8919336,-77.0715535
468,38.8916319,-77.0715345
469,38.8901461,-77.0724968
470,38.8900967,-77.0724887
471,38.8900787,-77.0724863
472,38.8900505,-77.0724816
473,38.8899548,-77.0724656
474,38.8897915,-77.0724421
475,38.8891018,-77.0723431
476,38.8886875,-77.0722837
477,38.8883939,-77.0722528
478,38.8883497,-77.0722473
479,38.8883313,-77.0722534
480,38.8883128,-77.0722613
481,38.8940474,-77.0727575
482,38.8940961,-77.0728218
483,38.8941534,-77.0728941
484,38.894167,-77.0729097
485,38.8941782,-77.0729206
486,38.8941837,-77.0729257
487,38.8941895,-77.0729309
