poi_id,osm_id,name,lat,lon,amenity,tourism,railway,public_transport,aeroway,shop,leisure,office,building,addr_street,addr_housenumber,addr_city,all_tags_json
2706,,,38.8961514,-77.0711703,,,,,,,,,roof,,,,"{""building"": ""roof"", ""layer"": ""1"", ""roof:material"": ""glass""}"
2707,,,38.8932288,-77.074935,,,,,,,,,house,16th Court North,1528,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1528"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2708,,,38.8932612,-77.0745121,,,,,,,,,house,16th Court North,1516,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1516"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2709,,,38.8932559,-77.0745814,,,,,,,,,house,16th Court North,1518,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1518"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2710,,,38.8932504,-77.074653,,,,,,,,,house,16th Court North,1520,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1520"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2711,,,38.8932444,-77.0747311,,,,,,,,,house,16th Court North,1522,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1522"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2712,,,38.8932394,-77.0747963,,,,,,,,,house,16th Court North,1524,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1524"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2713,,,38.8930472,-77.0749107,,,,,,,,,house,16th Road North,1527,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1527"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2714,,,38.8930525,-77.0748396,,,,,,,,,house,16th Road North,1525,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1525"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2715,,,38.8930575,-77.0747715,,,,,,,,,house,16th Road North,1523,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1523"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2716,,,38.8930625,-77.0747046,,,,,,,,,house,16th Road North,1521,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1521"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2717,,,38.893068,-77.0746306,,,,,,,,,house,16th Road North,1519,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1519"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2718,,,38.8930788,-77.0744859,,,,,,,,,house,16th Road North,1515,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1515"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2719,,,38.8932695,-77.0743857,,,,,,,,,house,16th Court North,1514,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1514"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2720,,,38.8932745,-77.0743176,,,,,,,,,house,16th Court North,1512,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1512"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2721,,,38.8932798,-77.0742466,,,,,,,,,house,16th Court North,1510,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1510"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
